empresa,compra,venta,fecha_extraccion
Western Union,3.671,3.700,2025-02-20 22:31
CambiaFX,3.659,3.692,2025-02-20 22:31
Dichikash,3.665,3.695,2025-02-20 22:31
Okane,3.660,3.710,2025-02-20 22:31
cambiosol,3.676,3.695,2025-02-20 22:31
Dolarex,3.674,3.685,2025-02-20 22:31
Yanki,3.665,3.700,2025-02-20 22:31
vip capital,0.000,0.000,2025-02-20 22:31
Cambio Mundial,3.670,3.680,2025-02-20 22:31
Dollar House,3.675,3.683,2025-02-20 22:31
Money House,3.665,3.719,2025-02-20 22:31
Instakash,3.676,3.696,2025-02-20 22:31
DLS Money,3.670,3.690,2025-02-20 22:31
Cambio Mas,3.670,3.695,2025-02-20 22:31
Tu Cambista,3.666,3.684,2025-02-20 22:31
kambio.online,3.650,3.710,2025-02-20 22:31
Rextie ,3.663,3.696,2025-02-20 22:31
chapacambio,3.668,3.688,2025-02-20 22:31
inka money,3.675,3.700,2025-02-20 22:31
Perú dolar,3.670,3.700,2025-02-20 22:31
Cambio Digital,3.670,3.687,2025-02-20 22:31
sr Cambio,3.660,3.690,2025-02-20 22:31
Hir Power,3.670,3.700,2025-02-20 22:31
